Team,Total DVOA Rank,Total DVOA,Season
NO,1,0.29,2011
GB,2,0.26,2011
PIT,3,0.22,2011
NE,4,0.22,2011
HOU,5,0.20,2011
SF,6,0.18,2011
ATL,7,0.17,2011
BAL,8,0.14,2011
PHI,9,0.13,2011
DET,10,0.13,2011
NYJ,11,0.12,2011
NYG,12,0.07,2011
DAL,13,0.06,2011
TEN,14,0.05,2011
CHI,15,0.01,2011
SD,16,0.00,2011
CIN,17,-0.01,2011
MIA,18,-0.02,2011
SEA,19,-0.02,2011
CAR,20,-0.04,2011
WAS,21,-0.08,2011
OAK,22,-0.09,2011
BUF,23,-0.10,2011
DEN,24,-0.13,2011
CLE,25,-0.15,2011
ARI,26,-0.17,2011
KC,27,-0.18,2011
JAX,28,-0.20,2011
MIN,29,-0.20,2011
TB,30,-0.27,2011
STL,31,-0.33,2011
IND,32,-0.35,2011
SEA,1,0.38,2012
DEN,2,0.36,2012
NE,3,0.34,2012
SF,4,0.30,2012
GB,5,0.26,2012
CHI,6,0.20,2012
ATL,7,0.12,2012
NYG,8,0.12,2012
HOU,9,0.10,2012
BAL,10,0.09,2012
WAS,11,0.09,2012
MIN,12,0.07,2012
CIN,13,0.04,2012
CAR,14,0.04,2012
STL,15,0.04,2012
DET,16,0.03,2012
DAL,17,0.02,2012
NO,18,-0.01,2012
PIT,19,-0.02,2012
TB,20,-0.07,2012
MIA,21,-0.08,2012
SD,22,-0.11,2012
BUF,23,-0.12,2012
ARI,24,-0.14,2012
CLE,25,-0.15,2012
IND,26,-0.16,2012
NYJ,27,-0.19,2012
PHI,28,-0.25,2012
OAK,29,-0.30,2012
TEN,30,-0.31,2012
JAX,31,-0.35,2012
KC,32,-0.44,2012
SEA,1,0.40,2013
DEN,2,0.33,2013
CAR,3,0.25,2013
NO,4,0.23,2013
NE,5,0.18,2013
SF,6,0.17,2013
KC,7,0.16,2013
CIN,8,0.14,2013
PHI,9,0.14,2013
ARI,10,0.13,2013
CHI,11,0.06,2013
STL,12,0.05,2013
SD,13,0.05,2013
IND,14,0.03,2013
DET,15,0.02,2013
DAL,16,0.00,2013
PIT,17,-0.02,2013
BUF,18,-0.04,2013
TB,19,-0.05,2013
ATL,20,-0.06,2013
TEN,21,-0.07,2013
MIA,22,-0.07,2013
GB,23,-0.08,2013
BAL,24,-0.08,2013
MIN,25,-0.09,2013
NYJ,26,-0.10,2013
NYG,27,-0.17,2013
CLE,28,-0.24,2013
HOU,29,-0.25,2013
WAS,30,-0.28,2013
OAK,31,-0.35,2013
JAX,32,-0.40,2013
SEA,1,0.32,2014
DEN,2,0.29,2014
GB,3,0.23,2014
BAL,4,0.22,2014
NE,5,0.22,2014
DAL,6,0.17,2014
PHI,7,0.13,2014
PIT,8,0.11,2014
BUF,9,0.11,2014
KC,10,0.10,2014
DET,11,0.08,2014
SF,12,0.06,2014
CIN,13,0.05,2014
IND,14,0.05,2014
NO,15,0.03,2014
MIA,16,0.03,2014
STL,17,-0.01,2014
HOU,18,-0.01,2014
SD,19,-0.02,2014
ARI,20,-0.03,2014
ATL,21,-0.03,2014
NYG,22,-0.08,2014
CLE,23,-0.08,2014
CAR,24,-0.10,2014
MIN,25,-0.10,2014
CHI,26,-0.15,2014
NYJ,27,-0.17,2014
WAS,28,-0.29,2014
TB,29,-0.29,2014
OAK,30,-0.30,2014
TEN,31,-0.31,2014
JAX,32,-0.31,2014
SEA,1,0.39,2015
ARI,2,0.30,2015
CIN,3,0.27,2015
CAR,4,0.26,2015
KC,5,0.26,2015
NE,6,0.23,2015
PIT,7,0.20,2015
DEN,8,0.17,2015
NYJ,9,0.12,2015
GB,10,0.09,2015
MIN,11,0.06,2015
DET,12,0.05,2015
BUF,13,0.01,2015
STL,14,0.01,2015
OAK,15,-0.01,2015
WAS,16,-0.01,2015
HOU,17,-0.02,2015
BAL,18,-0.04,2015
CHI,19,-0.07,2015
NYG,20,-0.07,2015
TB,21,-0.10,2015
ATL,22,-0.12,2015
PHI,23,-0.13,2015
IND,24,-0.14,2015
NO,25,-0.15,2015
DAL,26,-0.16,2015
JAX,27,-0.17,2015
SD,28,-0.17,2015
MIA,29,-0.21,2015
CLE,30,-0.24,2015
TEN,31,-0.28,2015
SF,32,-0.28,2015
NE,1,0.25,2016
DAL,2,0.24,2016
ATL,3,0.24,2016
PIT,4,0.16,2016
KC,5,0.14,2016
PHI,6,0.13,2016
GB,7,0.11,2016
NYG,8,0.09,2016
WAS,9,0.09,2016
OAK,10,0.08,2016
SEA,11,0.08,2016
BAL,12,0.07,2016
ARI,13,0.05,2016
CIN,14,0.03,2016
DEN,15,0.03,2016
NO,16,0.02,2016
TEN,17,0.02,2016
MIN,18,0.01,2016
BUF,19,-0.01,2016
MIA,20,-0.01,2016
SD,21,-0.02,2016
TB,22,-0.03,2016
IND,23,-0.06,2016
CAR,24,-0.06,2016
CHI,25,-0.09,2016
DET,26,-0.11,2016
JAX,27,-0.12,2016
HOU,28,-0.20,2016
SF,29,-0.22,2016
LAR,30,-0.30,2016
CLE,31,-0.33,2016
NYJ,32,-0.35,2016
NO,1,0.35,2017
MIN,2,0.29,2017
LAR,3,0.28,2017
PIT,4,0.26,2017
PHI,5,0.24,2017
NE,6,0.22,2017
BAL,7,0.18,2017
JAX,8,0.14,2017
CAR,9,0.13,2017
KC,10,0.11,2017
DAL,11,0.09,2017
DET,12,0.09,2017
LAC,13,0.07,2017
ATL,14,0.05,2017
SEA,15,0.02,2017
WAS,16,-0.03,2017
GB,17,-0.05,2017
TEN,18,-0.06,2017
ARI,19,-0.08,2017
OAK,20,-0.09,2017
SF,21,-0.09,2017
BUF,22,-0.11,2017
TB,23,-0.12,2017
CIN,24,-0.14,2017
CHI,25,-0.17,2017
HOU,26,-0.18,2017
NYJ,27,-0.19,2017
MIA,28,-0.22,2017
DEN,29,-0.22,2017
IND,30,-0.24,2017
NYG,31,-0.25,2017
CLE,32,-0.29,2017
KC,1,0.33,2018
NO,2,0.25,2018
LAR,3,0.24,2018
LAC,4,0.22,2018
CHI,5,0.19,2018
BAL,6,0.16,2018
NE,7,0.14,2018
IND,8,0.12,2018
PIT,9,0.11,2018
MIN,10,0.11,2018
HOU,11,0.10,2018
SEA,12,0.06,2018
DEN,13,0.06,2018
CAR,14,0.00,2018
PHI,15,-0.01,2018
NYG,16,-0.01,2018
ATL,17,-0.02,2018
DAL,18,-0.02,2018
CLE,19,-0.03,2018
GB,20,-0.04,2018
TEN,21,-0.06,2018
JAX,22,-0.09,2018
DET,23,-0.11,2018
CIN,24,-0.11,2018
TB,25,-0.14,2018
NYJ,26,-0.17,2018
MIA,27,-0.18,2018
BUF,28,-0.19,2018
WAS,29,-0.20,2018
SF,30,-0.22,2018
OAK,31,-0.23,2018
ARI,32,-0.38,2018
BAL,1,0.41,2019
NO,2,0.33,2019
NE,3,0.31,2019
KC,4,0.30,2019
SF,5,0.29,2019
DAL,6,0.20,2019
MIN,7,0.18,2019
SEA,8,0.13,2019
GB,9,0.08,2019
TEN,10,0.08,2019
PHI,11,0.06,2019
LAR,12,0.05,2019
BUF,13,0.02,2019
TB,14,0.00,2019
ATL,15,-0.02,2019
HOU,16,-0.02,2019
ARI,17,-0.03,2019
CHI,18,-0.03,2019
PIT,19,-0.06,2019
IND,20,-0.06,2019
DET,21,-0.08,2019
LAC,22,-0.09,2019
DEN,23,-0.10,2019
CLE,24,-0.11,2019
OAK,25,-0.13,2019
NYJ,26,-0.18,2019
NYG,27,-0.19,2019
JAX,28,-0.19,2019
CAR,29,-0.27,2019
WAS,30,-0.27,2019
CIN,31,-0.28,2019
MIA,32,-0.39,2019
NO,1,0.33,2020
TB,2,0.32,2020
GB,3,0.26,2020
BUF,4,0.24,2020
SEA,5,0.20,2020
KC,6,0.20,2020
BAL,7,0.19,2020
PIT,8,0.17,2020
LAR,9,0.15,2020
IND,10,0.14,2020
SF,11,0.05,2020
MIA,12,0.05,2020
ARI,13,0.04,2020
TEN,14,0.03,2020
CHI,15,-0.01,2020
WAS,16,-0.02,2020
ATL,17,-0.04,2020
CLE,18,-0.06,2020
LV,19,-0.06,2020
MIN,20,-0.06,2020
CAR,21,-0.07,2020
NE,22,-0.07,2020
DAL,23,-0.11,2020
HOU,24,-0.13,2020
NYG,25,-0.14,2020
LAC,26,-0.15,2020
DET,27,-0.16,2020
PHI,28,-0.19,2020
DEN,29,-0.22,2020
CIN,30,-0.25,2020
JAX,31,-0.28,2020
NYJ,32,-0.31,2020
DAL,1,0.31,2021
BUF,2,0.28,2021
TB,3,0.28,2021
NE,4,0.23,2021
LAR,5,0.22,2021
SF,6,0.20,2021
KC,7,0.17,2021
GB,8,0.12,2021
SEA,9,0.12,2021
ARI,10,0.11,2021
IND,11,0.10,2021
LAC,12,0.09,2021
CLE,13,0.05,2021
NO,14,0.05,2021
PHI,15,0.04,2021
MIN,16,0.03,2021
CIN,17,0.00,2021
DEN,18,-0.01,2021
BAL,19,-0.03,2021
TEN,20,-0.03,2021
LV,21,-0.05,2021
WAS,22,-0.10,2021
PIT,23,-0.10,2021
CHI,24,-0.11,2021
MIA,25,-0.11,2021
NYJ,26,-0.19,2021
CAR,27,-0.24,2021
HOU,28,-0.24,2021
DET,29,-0.27,2021
ATL,30,-0.29,2021
NYG,31,-0.30,2021
JAX,32,-0.31,2021
